token,frequency,pos
existed,20,VBN
surely,20,RB
cases,20,NNS
dried,20,VBN
leave,20,VB
nobody,20,NN
contacted,19,VBN
exact,19,NN
younger,19,JJR
adding,19,VBG
forgotten,19,NNS
space,19,NN
hungry,19,NN
hardly,19,RB
profit,19,NN
serving,19,VBG
doubt,19,NN
raised,19,VBN
mushy,19,NN
ohio,19,NN
plastic,19,NN
loss,19,NN
red,19,JJ
note,19,NN
bags,19,NNS
finished,19,VBN
form,19,NN
packaging,19,NN
walk,19,NN
double,19,RB
takes,19,VBZ
fuel,19,NN
disappointing,19,VBG
question,19,NN
rye,19,NN
frankenberry,19,NN
u,19,NN
white,19,JJ
piece,19,NN
filled,19,VBN
living,19,NN
wondered,19,VBD
youth,19,NN
willing,19,JJ
siblings,19,NNS
trip,19,NN
cup,19,NN
garbage,19,NN
dear,19,NN
basically,19,RB
personally,18,RB
carries,18,VBZ
correct,18,NN
google,18,NN
unopened,18,JJ
visit,18,NN
vitamin,18,NN
replaced,18,VBN
turtle,18,NN
smacks,18,NNS
chicago,18,NN
conscious,18,JJ
cluster,18,NN
certain,18,JJ
offered,18,VBN
lover,18,NN
giving,18,VBG
song,18,NN
air,18,NN
addicted,18,VBN
smorz,18,NN
hunny,18,NN
everybody,18,NN
items,18,NNS
kelloggs,18,NNS
liking,18,VBG
wanting,18,VBG
open,18,JJ
snacks,18,NNS
choice,18,NN
whoever,18,NN
sounds,18,NNS
states,18,NNS
cracker,18,NN
smart,18,NN
voted,18,VBD
sooooo,18,NN
using,18,VBG
swear,18,NN
fine,18,NN
stuck,17,NN
test,17,NN
immediately,17,RB
hearty,17,NN
critters,17,NNS
glaze,17,NN
bread,17,NN
ny,17,NN
given,17,VBN
section,17,NN
info,17,NN
express,17,NN
ordered,17,VBN
someday,17,NN
remembers,17,NNS
tiny,17,JJ
besides,17,IN
joy,17,NN
quality,17,NN
currently,17,RB
clearly,17,RB
including,17,VBG
sisters,17,NNS
r,17,NN
cw,17,NN
american,17,JJ
lasted,17,VBN
franken,17,NN
advertising,17,NN
scooby,17,NN
stale,17,NN
buddies,17,NNS
grandfather,17,NN
misses,17,NNS
grade,17,NN
healthier,17,NN
trail,17,NN
state,17,NN
empty,17,JJ
news,17,NN
stocked,17,VBN
jacks,17,NNS
wake,17,NN
staple,17,NN
success,17,NN
roof,17,NN
hand,17,NN
pettijohn,17,NN
indeed,17,RB
kinda,17,NN
nostalgia,17,NN
ads,16,NNS
muffin,16,NN
fat,16,NN
incredible,16,JJ
yellow,16,NN
item,16,NN
devastated,16,VBN
unable,16,JJ
nutritional,16,JJ
jack,16,NN
highly,16,RB
offer,16,NN
freaking,16,VBG
mexico,16,NN
organic,16,JJ
harder,16,NN
stocking,16,VBG
apparently,16,RB
passed,16,VBN
introduce,16,NN
sort,16,NN
buckwheat,16,NN
pa,16,NN
kinds,16,NNS
hold,16,NN
mush,16,NN
finish,16,NN
interested,16,JJ
gives,16,VBZ
fair,16,NN
helped,16,VBD
sign,16,NN
reviews,16,NNS
interesting,16,VBG
jim,16,NN
possibly,16,RB
reptar,16,NN
learned,16,VBN
suddenly,16,RB
natural,16,JJ
kill,16,NN
ingredient,16,NN
granola,16,NN
kraft,16,NN
car,16,NN
diabetes,16,NNS
likes,16,NNS
hint,16,NN
sake,15,NN
doo,15,NN
prizes,15,NNS
lack,15,NN
advertise,15,NN
picked,15,NNS
addictive,15,JJ
pack,15,NN
fall,15,NN
fight,15,NN
instant,15,NN
bummed,15,VBN
tony,15,NN
six,15,CD
buck,15,NN
checked,15,NNS
shipping,15,NN
smores,15,NNS
hi,15,NN
wholesome,15,NN
spangles,15,NNS
donutz,15,NN
magnets,15,NNS
nowadays,15,NNS
moonstones,15,NNS
feed,15,NN
bummer,15,NN
request,15,NN
darn,15,NN
gon,15,NN
grandson,15,NN
appreciate,15,NN
answer,15,NN
rate,15,NN
wishing,15,VBG
straight,15,NN
sick,15,NN
puff,15,NN
mmmm,15,NN
blast,15,NN
weekend,15,NN
youtube,15,NN
promise,15,NN
oatbake,15,NN
cupboard,15,NN
appears,15,VBZ
interest,15,NN
bigger,15,JJR
actual,15,JJ
satisfying,14,VBG
book,14,NN
means,14,NNS
listed,14,VBN
heartbeat,14,NN
figures,14,NNS
greatly,14,RB
move,14,NN
ultimate,14,JJ
pantry,14,NN
hours,14,NNS
supposed,14,VBN
twice,14,RB
appear,14,VB
families,14,NNS
pictures,14,NNS
moon,14,NN
